year_completed,multigen_sold,bldg_contract_town,multistorey_carpark,street,total_dwelling_units,blk_no,exec_sold,max_floor_lvl,residential,1room_sold,precinct_pavilion,other_room_rental,5room_sold,3room_sold,commercial,4room_sold,miscellaneous,studio_apartment_sold,2room_rental,2room_sold,1room_rental,3room_rental,market_hawker,_id
1984,0,WL,N,MARSILING RISE,24,127,0,4,Y,0,N,0,0,0,N,24,N,0,0,0,0,0,N,1132
1988,0,PRC,N,PASIR RIS ST 11,84,127,0,13,Y,0,N,0,24,0,N,60,N,0,0,0,0,0,N,1133
1987,0,BP,N,PENDING RD,28,127,0,4,Y,0,N,0,0,21,N,7,N,0,0,0,0,0,N,1134
1983,0,TP,N,POTONG PASIR AVE 1,8,127,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1135
2002,0,PG,N,PUNGGOL FIELD WALK,0,127,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1136
1998,0,SK,N,RIVERVALE ST,97,127,0,16,Y,0,N,0,38,0,N,59,N,0,0,0,0,0,N,1137
1984,0,SGN,N,SERANGOON NTH AVE 1,96,127,0,13,Y,0,N,0,0,0,N,96,Y,0,0,0,0,0,N,1138
1987,0,TAP,N,SIMEI ST 1,80,127,0,11,Y,0,N,0,46,0,N,34,N,0,0,0,0,0,N,1139
1985,0,TAP,N,TAMPINES ST 11,108,127,0,10,Y,0,N,0,92,0,N,16,N,0,0,0,0,0,N,1140
1983,0,YS,N,YISHUN ST 11,95,127,0,4,Y,0,N,0,1,62,N,32,N,0,0,0,0,0,N,1141
2011,0,BM,N,KIM TIAN RD,219,127A,0,40,Y,0,N,0,0,72,N,78,N,0,0,69,0,0,N,1142
2012,0,BM,N,KIM TIAN RD,0,127B,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1143
2011,0,BM,N,KIM TIAN RD,221,127C,1,40,Y,0,N,0,0,76,N,72,N,0,0,72,0,0,N,1144
2011,0,BM,N,KIM TIAN RD,231,127D,0,40,Y,0,N,0,39,0,N,192,N,0,0,0,0,0,N,1145
1978,0,AMK,N,ANG MO KIO AVE 3,143,128,1,11,Y,0,N,0,0,124,Y,18,N,0,0,0,0,0,N,1146
1977,0,BD,N,BEDOK NTH ST 2,155,128,0,14,Y,0,N,0,0,116,Y,38,N,0,0,0,0,1,N,1147
1986,0,BD,N,BEDOK RESERVOIR RD,124,128,0,11,Y,0,N,0,52,0,N,72,N,0,0,0,0,0,N,1148
1986,0,BH,N,BISHAN ST 12,92,128,8,25,Y,0,N,0,84,0,N,0,N,0,0,0,0,0,N,1149
1973,0,BM,N,BT MERAH VIEW,300,128,0,20,Y,0,N,0,4,295,Y,0,Y,0,0,0,0,1,N,1150
1984,0,BB,N,BT BATOK WEST AVE 6,16,128,0,4,Y,0,N,0,0,8,N,8,N,0,0,0,0,0,N,1151
2017,0,SB,N,CANBERRA ST,0,128,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1152
1982,0,GL,N,GEYLANG EAST AVE 1,139,128,0,20,Y,0,N,0,57,41,N,41,Y,0,0,0,0,0,N,1153
1974,0,BM,N,KIM TIAN RD,120,128,0,16,Y,0,N,0,0,0,N,120,Y,0,0,0,0,0,N,1154
1983,0,HG,N,LOR AH SOO,84,128,84,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1155
1969,0,TP,N,LOR 1 TOA PAYOH,200,128,0,16,Y,0,N,0,0,200,Y,0,Y,0,0,0,0,0,N,1156
1984,0,WL,N,MARSILING RISE,70,128,62,9,Y,0,N,0,8,0,N,0,Y,0,0,0,0,0,N,1157
1988,0,PRC,N,PASIR RIS ST 11,60,128,60,9,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1158
1986,0,BP,N,PENDING RD,132,128,0,12,Y,0,N,0,0,66,N,66,Y,0,0,0,0,0,N,1159
1983,0,TP,N,POTONG PASIR AVE 1,8,128,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1160
2001,0,PG,Y,PUNGGOL FIELD WALK,0,128,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1161
1998,0,SK,N,RIVERVALE ST,119,128,0,16,Y,0,N,0,60,0,N,59,N,0,0,0,0,0,N,1162
1987,0,TAP,N,SIMEI ST 1,16,128,16,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1163
1984,0,YS,N,YISHUN ST 11,110,128,0,12,Y,0,N,0,0,66,N,44,N,0,0,0,0,0,N,1164
2001,0,BM,N,BT MERAH VIEW,0,128A,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1165
2017,0,SB,N,CANBERRA ST,120,128A,0,13,Y,0,N,0,72,0,N,48,N,0,0,0,0,0,N,1166
2002,0,TP,Y,LOR 1 TOA PAYOH,0,128A,0,4,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,1167
2001,0,PG,N,PUNGGOL FIELD WALK,171,128A,0,17,Y,0,N,0,96,0,N,75,N,0,0,0,0,0,N,1168
1998,0,SK,N,RIVERVALE ST,0,128A,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1169
2017,0,SB,N,CANBERRA ST,204,128B,0,13,Y,0,N,0,0,96,N,48,Y,0,0,60,0,0,N,1170
2001,0,PG,N,PUNGGOL FIELD WALK,86,128B,0,17,Y,0,N,0,86,0,N,0,N,0,0,0,0,0,N,1171
2017,0,SB,N,CANBERRA ST,120,128C,0,13,Y,0,N,0,72,0,N,48,N,0,0,0,0,0,N,1172
2001,0,PG,N,PUNGGOL FIELD WALK,118,128C,0,17,Y,0,N,0,70,0,N,48,N,0,0,0,0,0,N,1173
2001,0,PG,N,PUNGGOL FIELD WALK,92,128D,0,17,Y,0,N,0,92,0,N,0,Y,0,0,0,0,0,N,1174
1978,0,AMK,N,ANG MO KIO AVE 3,235,129,4,12,Y,0,N,0,3,206,N,22,N,0,0,0,0,0,N,1175
1977,0,BD,N,BEDOK NTH ST 2,153,129,0,14,Y,0,N,0,2,113,Y,38,N,0,0,0,0,0,N,1176
1986,0,BD,N,BEDOK RESERVOIR RD,16,129,0,4,Y,0,N,0,0,8,N,8,N,0,0,0,0,0,N,1177
1986,0,BH,N,BISHAN ST 12,16,129,0,4,Y,0,N,0,0,8,N,8,N,0,0,0,0,0,N,1178
1973,0,BM,N,BT MERAH VIEW,297,129,0,20,Y,0,N,0,7,290,N,0,Y,0,0,0,0,0,N,1179
1984,0,BB,N,BT BATOK WEST AVE 6,132,129,0,12,Y,0,N,0,0,66,N,66,N,0,0,0,0,0,N,1180
2016,0,SB,Y,CANBERRA ST,0,129,0,7,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1181
1994,0,QT,N,CLARENCE LANE,95,129,0,20,Y,0,N,0,0,0,N,95,N,0,0,0,0,0,N,1182
2001,0,PG,N,EDGEDALE PLAINS,0,129,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1183
1986,0,GL,N,GEYLANG EAST AVE 2,12,129,0,4,Y,0,N,0,6,0,Y,6,N,0,0,0,0,0,N,1184
1975,0,BM,N,KIM TIAN RD,113,129,0,16,Y,0,N,0,0,0,Y,113,N,0,0,0,0,0,N,1185
1985,0,HG,N,LOR AH SOO,198,129,0,16,Y,0,N,0,68,15,Y,115,N,0,0,0,0,0,N,1186
1983,0,WL,N,MARSILING RISE,100,129,0,10,Y,0,N,0,26,74,N,0,N,0,0,0,0,0,N,1187
1988,0,PRC,N,PASIR RIS ST 11,72,129,72,9,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,1188
1986,0,BP,N,PENDING RD,60,129,60,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1189
1983,0,TP,N,POTONG PASIR AVE 1,8,129,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1190
1997,0,SK,N,RIVERVALE ST,75,129,0,16,Y,0,N,0,15,0,N,60,N,0,0,0,0,0,N,1191
1987,0,TAP,N,SIMEI ST 1,16,129,0,4,Y,0,N,0,10,0,N,6,N,0,0,0,0,0,N,1192
1984,0,YS,N,YISHUN ST 11,48,129,0,4,Y,0,N,0,0,32,N,16,N,0,0,0,0,0,N,1193
2000,0,BM,Y,BT MERAH VIEW,0,129A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1194
1994,0,QT,Y,CLARENCE LANE,0,129A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1195
2017,0,SB,N,CANBERRA ST,106,129A,0,13,Y,0,N,0,58,0,N,48,Y,0,0,0,0,0,N,1196
2000,0,BM,N,KIM TIAN RD,0,129A,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1197
2017,0,SB,N,CANBERRA ST,204,129B,0,13,Y,0,N,0,0,96,N,48,Y,0,0,60,0,0,N,1198
2017,0,SB,N,CANBERRA ST,106,129C,0,13,Y,0,N,0,72,0,N,34,N,0,0,0,0,0,N,1199
1975,0,BD,N,BEDOK STH RD,234,13,0,14,Y,0,N,0,0,0,N,0,Y,0,234,0,0,0,N,1200
2000,0,BM,N,CANTONMENT CL,145,13,0,30,Y,0,N,0,29,29,N,87,N,0,0,0,0,0,N,1201
1977,0,QT,N,DOVER CL EAST,96,13,0,25,Y,0,N,0,96,0,N,0,Y,0,0,0,0,0,N,1202
1976,0,GL,N,EUNOS CRES,90,13,0,16,Y,0,N,0,78,0,N,12,N,0,0,0,0,0,N,1203
2002,0,KWN,N,FARRER PK RD,174,13,0,30,Y,0,N,0,58,0,N,116,Y,0,0,0,0,0,N,1204
1976,0,QT,N,GHIM MOH RD,96,13,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,1205
1977,0,GL,N,HAIG RD,0,13,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,Y,1206
1974,0,QT,N,HOLLAND DR,367,13,0,22,Y,0,N,0,5,277,N,84,Y,0,0,0,0,1,N,1207
1994,0,BM,N,JLN BT MERAH,78,13,0,22,Y,0,N,0,42,0,N,36,N,0,0,0,0,0,N,1208
1983,0,TP,N,JOO SENG RD,48,13,0,9,Y,0,N,0,0,0,N,48,Y,0,0,0,0,0,N,1209
1969,0,TP,N,LOR 7 TOA PAYOH,176,13,0,11,Y,0,N,0,0,176,N,0,N,0,0,0,0,0,N,1210
1974,0,MP,N,MARINE TER,96,13,0,25,Y,0,N,0,96,0,Y,0,N,0,0,0,0,0,N,1211
1975,0,WL,N,MARSILING LANE,129,13,0,14,Y,0,N,0,1,128,N,0,Y,0,0,0,0,0,N,1212
1961,0,GL,N,MERPATI RD,120,13,0,10,Y,0,N,0,0,0,N,0,N,0,120,0,0,0,N,1213
1974,0,KWN,Y,NTH BRIDGE RD,0,13,0,6,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1214
1958,0,GL,N,OLD AIRPORT RD,14,13,0,3,Y,0,N,0,0,0,Y,0,Y,0,0,0,0,14,N,1215
1984,0,KWN,N,ST. GEORGE'S RD,96,13,0,25,Y,0,N,0,96,0,Y,0,N,0,0,0,0,0,N,1216
1978,0,CCK,N,TECK WHYE LANE,96,13,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,1217
1974,0,BM,N,TELOK BLANGAH CRES,175,13,0,14,Y,0,N,0,7,168,N,0,N,0,0,0,0,0,N,1218
1988,0,BT,N,TOH YI DR,138,13,0,13,Y,0,N,0,57,0,N,81,Y,0,0,0,0,0,N,1219
1997,0,KWN,N,UPP BOON KENG RD,117,13,0,20,Y,0,N,0,57,0,N,60,N,0,0,0,0,0,N,1220
1969,0,CT,N,YORK HILL,182,13,0,12,Y,0,N,0,0,0,Y,0,N,0,22,0,160,0,N,1221
2004,0,BD,Y,BEDOK STH RD,0,13A,0,2,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1222
2004,0,QT,Y,GHIM MOH RD,0,13A,0,3,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1223
2012,0,WL,Y,MARSILING LANE,0,13A,0,4,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1224
1997,0,KWN,Y,UPP BOON KENG RD,0,13A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1225
1978,0,AMK,N,ANG MO KIO AVE 3,190,130,1,13,Y,0,N,0,1,164,N,24,N,0,0,0,0,0,N,1226
1986,0,BD,N,BEDOK RESERVOIR RD,70,130,70,15,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1227
1977,0,BD,N,BEDOK NTH ST 2,150,130,0,16,Y,0,N,0,0,0,N,150,Y,0,0,0,0,0,N,1228
1985,0,BH,N,BISHAN ST 12,96,130,0,13,Y,0,N,0,0,0,Y,96,N,0,0,0,0,0,N,1229
1973,0,BM,N,BT MERAH VIEW,293,130,0,20,Y,0,N,0,11,282,Y,0,Y,0,0,0,0,0,N,1230
1984,0,BB,N,BT BATOK WEST AVE 6,132,130,0,12,Y,0,N,0,0,66,N,66,N,0,0,0,0,0,N,1231
1988,0,BP,N,CASHEW RD,60,130,60,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1232
2017,0,SB,N,CANBERRA CRES,0,130,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1233
1991,0,CCK,N,CHOA CHU KANG AVE 1,80,130,0,13,Y,0,N,0,40,0,N,40,N,0,0,0,0,0,N,1234
1994,0,QT,N,CLARENCE LANE,95,130,0,20,Y,0,N,0,0,0,N,95,N,0,0,0,0,0,N,1235
2002,0,PG,N,EDGEDALE PLAINS,160,130,0,17,Y,0,N,0,96,0,N,64,N,0,0,0,0,0,N,1236
1986,0,GL,N,GEYLANG EAST AVE 1,85,130,85,19,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1237
1985,0,JE,N,JURONG GATEWAY RD,0,130,0,4,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1238
1975,0,BM,N,KIM TIAN RD,109,130,0,12,Y,0,N,0,1,108,N,0,Y,0,0,0,0,0,N,1239
2017,0,TP,Y,LOR 1 TOA PAYOH,0,130,0,7,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1240
1983,0,HG,N,LOR AH SOO,104,130,0,14,Y,0,N,0,0,0,N,104,N,0,0,0,0,0,N,1241
1983,0,WL,N,MARSILING RISE,110,130,0,10,Y,0,N,0,16,94,N,0,N,0,0,0,0,0,N,1242
1993,0,PRC,N,PASIR RIS ST 11,32,130,32,8,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1243
1983,0,TP,N,POTONG PASIR AVE 1,8,130,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1244
1998,0,SK,N,RIVERVALE ST,80,130,0,17,Y,0,N,0,16,0,N,64,N,0,0,0,0,0,N,1245
1987,0,TAP,N,SIMEI ST 1,120,130,0,11,Y,0,N,0,72,0,N,48,N,0,0,0,0,0,N,1246
1984,0,YS,N,YISHUN ST 11,110,130,0,12,Y,0,N,0,0,66,N,44,N,0,0,0,0,0,N,1247
2000,0,AMK,Y,ANG MO KIO ST 12,0,130A,0,2,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1248
2017,0,SB,N,CANBERRA CRES,180,130A,0,13,Y,0,N,0,0,36,N,48,N,0,0,96,0,0,N,1249
2017,0,TP,N,LOR 1 TOA PAYOH,231,130A,0,40,Y,0,N,0,0,77,N,154,N,0,0,0,0,0,N,1250
2002,0,AMK,N,ANG MO KIO ST 12,0,130B,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1251
2017,0,SB,N,CANBERRA CRES,180,130B,0,13,Y,0,N,0,0,36,N,48,N,0,0,96,0,0,N,1252
2017,0,TP,N,LOR 1 TOA PAYOH,234,130B,0,40,Y,0,N,0,0,78,N,156,N,0,0,0,0,0,N,1253
2017,0,TP,N,LOR 1 TOA PAYOH,0,130C,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1254
1978,0,AMK,N,ANG MO KIO AVE 3,132,131,0,12,Y,0,N,0,0,0,N,132,N,0,0,0,0,0,N,1255
1977,0,BD,N,BEDOK NTH AVE 3,150,131,0,16,Y,0,N,0,0,0,N,150,Y,0,0,0,0,0,N,1256
1986,0,BD,N,BEDOK RESERVOIR RD,96,131,0,13,Y,0,N,0,42,0,N,54,N,0,0,0,0,0,N,1257
1985,0,BH,N,BISHAN ST 12,96,131,0,13,Y,0,N,0,0,0,N,96,N,0,0,0,0,0,N,1258
1984,0,BB,N,BT BATOK WEST AVE 6,110,131,0,12,Y,0,N,0,0,66,N,44,N,0,0,0,0,0,N,1259
1987,0,BP,N,CASHEW RD,110,131,0,12,Y,0,N,0,0,66,N,44,N,0,0,0,0,0,N,1260
2020,0,SB,N,CANBERRA CRES,0,131,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1261
1992,0,CCK,N,CHOA CHU KANG AVE 1,81,131,0,15,Y,0,N,0,42,0,N,39,N,0,0,0,0,0,N,1262
1994,0,QT,N,CLARENCE LANE,59,131,0,16,Y,0,N,0,59,0,N,0,Y,0,0,0,0,0,N,1263
2001,0,PG,Y,EDGEDALE PLAINS,0,131,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1264
1986,0,GL,N,GEYLANG EAST AVE 1,40,131,40,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1265
1975,0,BM,N,JLN BT MERAH,142,131,0,10,Y,0,N,0,5,137,Y,0,N,0,0,0,0,0,N,1266
1985,0,JE,N,JURONG GATEWAY RD,0,131,0,4,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1267
2017,0,TP,N,LOR 1 TOA PAYOH,0,131,0,3,N,0,N,0,0,0,Y,0,Y,0,0,0,0,0,N,1268
1984,0,HG,N,LOR AH SOO,8,131,0,4,Y,0,N,0,8,0,N,0,N,0,0,0,0,0,N,1269
1983,0,WL,N,MARSILING RISE,111,131,0,10,Y,0,N,0,5,106,Y,0,N,0,0,0,0,0,N,1270
1993,0,PRC,N,PASIR RIS ST 11,32,131,32,8,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1271
1983,0,TP,N,POTONG PASIR AVE 1,16,131,16,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1272
1998,0,SK,N,RIVERVALE ST,160,131,0,17,Y,0,N,0,0,0,N,160,Y,0,0,0,0,0,N,1273
1987,0,TAP,N,SIMEI ST 1,100,131,0,11,Y,0,N,0,36,0,N,64,Y,0,0,0,0,0,N,1274
1984,0,YS,N,YISHUN ST 11,132,131,0,12,Y,0,N,0,0,66,N,66,Y,0,0,0,0,0,N,1275
2019,0,SB,N,CANBERRA CRES,112,131A,0,11,Y,0,N,0,0,22,N,40,Y,0,0,50,0,0,N,1276
2000,0,BM,Y,KIM TIAN RD,0,131A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1277
2017,0,TP,N,LOR 1 TOA PAYOH,269,131A,0,40,Y,0,N,0,0,78,N,76,N,54,0,61,0,0,N,1278
2019,0,SB,N,CANBERRA CRES,80,131B,0,11,Y,0,N,0,0,10,N,30,N,0,0,40,0,0,N,1279
2000,0,BM,N,KIM TIAN RD,141,131B,0,30,Y,0,N,0,83,0,N,58,N,0,0,0,0,0,N,1280
2017,0,TP,N,LOR 1 TOA PAYOH,273,131B,0,40,Y,0,N,0,0,78,N,78,N,52,0,65,0,0,N,1281
2019,0,SB,N,CANBERRA CRES,79,131C,0,11,Y,0,N,0,0,39,N,30,N,0,0,10,0,0,N,1282
2000,0,BM,N,KIM TIAN RD,118,131C,0,27,Y,0,N,0,40,0,N,78,N,0,0,0,0,0,N,1283
2017,0,TP,N,LOR 1 TOA PAYOH,0,131C,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,1284
1978,0,AMK,N,ANG MO KIO AVE 3,100,132,0,11,Y,0,N,0,84,0,N,16,N,0,0,0,0,0,N,1285
1986,0,BD,N,BEDOK RESERVOIR RD,88,132,0,12,Y,0,N,0,0,0,N,88,Y,0,0,0,0,0,N,1286
1977,0,BD,N,BEDOK NTH ST 2,150,132,0,16,Y,0,N,0,0,0,N,150,N,0,0,0,0,0,N,1287
1986,0,BH,N,BISHAN ST 12,28,132,0,4,Y,0,N,0,0,21,N,7,N,0,0,0,0,0,N,1288
1984,0,BB,N,BT BATOK WEST AVE 6,20,132,0,4,Y,0,N,0,0,12,Y,8,N,0,0,0,0,0,N,1289
2019,0,SB,Y,CANBERRA VIEW,0,132,0,2,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,1290
1987,0,BP,N,CASHEW RD,110,132,0,12,Y,0,N,0,0,66,N,44,N,0,0,0,0,0,N,1291
1991,0,CCK,N,CHOA CHU KANG AVE 1,78,132,0,15,Y,0,N,0,42,0,N,36,N,0,0,0,0,0,N,1292
1994,0,QT,N,CLARENCE LANE,50,132,0,11,Y,0,N,0,50,0,N,0,Y,0,0,0,0,0,N,1293
2001,0,PG,N,EDGEDALE PLAINS,151,132,0,18,Y,0,N,0,123,0,N,28,N,0,0,0,0,0,N,1294
1986,0,GL,N,GEYLANG EAST AVE 1,93,132,93,19,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1295
1975,0,BM,N,JLN BT MERAH,130,132,0,10,Y,0,N,0,1,127,Y,0,N,0,0,0,0,2,N,1296
1985,0,JE,Y,JURONG GATEWAY RD,0,132,0,4,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1297
1983,0,HG,N,LOR AH SOO,84,132,84,13,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,1298
1984,0,WL,N,MARSILING RISE,20,132,0,4,Y,0,N,0,0,16,Y,4,N,0,0,0,0,0,N,1299
1993,0,PRC,N,PASIR RIS ST 11,30,132,30,7,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1300
1983,0,TP,N,POTONG PASIR AVE 1,8,132,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1301
1998,0,SK,N,RIVERVALE ST,119,132,0,16,Y,0,N,0,60,0,N,59,N,0,0,0,0,0,N,1302
1987,0,TAP,N,SIMEI ST 1,60,132,0,4,Y,0,N,0,0,38,N,22,N,0,0,0,0,0,N,1303
1984,0,YS,N,YISHUN ST 11,132,132,0,12,Y,0,N,0,0,66,N,66,N,0,0,0,0,0,N,1304
2002,0,AMK,Y,ANG MO KIO ST 12,0,132A,0,2,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1305
2019,0,SB,N,CANBERRA CRES,124,132A,0,12,Y,0,N,0,0,36,N,44,Y,0,0,44,0,0,N,1306
2019,0,SB,N,CANBERRA VIEW,110,132B,0,12,Y,0,N,0,0,22,N,44,N,0,0,44,0,0,N,1307
2019,0,SB,N,CANBERRA VIEW,95,132C,0,12,Y,0,N,0,0,10,N,44,N,0,0,41,0,0,N,1308
1978,0,AMK,N,ANG MO KIO AVE 3,22,133,0,4,Y,0,N,0,1,17,Y,4,N,0,0,0,0,0,N,1309
1977,0,BD,N,BEDOK NTH AVE 3,150,133,0,16,Y,0,N,0,0,0,Y,150,Y,0,0,0,0,0,N,1310
1986,0,BD,N,BEDOK RESERVOIR RD,90,133,0,10,Y,0,N,0,0,0,N,90,Y,0,0,0,0,0,N,1311
1986,0,BH,N,BISHAN ST 12,28,133,0,4,Y,0,N,0,0,21,N,7,N,0,0,0,0,0,N,1312
1983,0,BB,N,BT BATOK WEST AVE 6,16,133,0,4,Y,0,N,0,0,8,N,8,N,0,0,0,0,0,N,1313
1988,0,BP,N,CASHEW RD,60,133,60,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1314
2020,0,SB,N,CANBERRA VIEW,0,133,0,3,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1315
1994,0,QT,N,CLARENCE LANE,40,133,0,11,Y,0,N,0,40,0,N,0,N,0,0,0,0,0,N,1316
2001,0,PG,N,EDGEDALE PLAINS,171,133,0,18,Y,0,N,0,103,0,N,68,N,0,0,0,0,0,N,1317
1986,0,GL,N,GEYLANG EAST AVE 1,94,133,94,19,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,1318
1974,0,BM,N,JLN BT MERAH,112,133,0,10,Y,0,N,0,0,112,Y,0,N,0,0,0,0,0,N,1319
1985,0,JE,N,JURONG GATEWAY RD,0,133,0,4,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1320
1984,0,HG,N,LOR AH SOO,138,133,0,10,Y,0,N,0,8,0,N,130,N,0,0,0,0,0,N,1321
1984,0,WL,N,MARSILING RISE,20,133,16,4,Y,0,N,0,4,0,N,0,N,0,0,0,0,0,N,1322
1993,0,PRC,N,PASIR RIS ST 11,24,133,24,7,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1323
1983,0,TP,N,POTONG PASIR AVE 1,12,133,12,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1324
1997,0,SK,N,RIVERVALE ST,91,133,0,17,Y,0,N,0,75,0,N,16,N,0,0,0,0,0,N,1325
1987,0,TAP,N,SIMEI ST 1,80,133,0,11,Y,0,N,0,36,0,N,44,Y,0,0,0,0,0,N,1326
1991,0,CCK,N,TECK WHYE LANE,56,133,56,15,Y,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1327
1984,0,YS,N,YISHUN ST 11,47,133,0,4,Y,0,N,0,1,30,N,16,N,0,0,0,0,0,N,1328
1988,0,BP,N,CASHEW RD,16,133A,16,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1329
1997,0,SK,Y,RIVERVALE ST,0,133A,0,6,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1330
1978,0,AMK,N,ANG MO KIO AVE 3,168,134,0,13,Y,0,N,0,0,0,N,168,Y,0,0,0,0,0,N,1331
1986,0,BD,N,BEDOK RESERVOIR RD,90,134,0,10,Y,0,N,0,0,0,N,90,Y,0,0,0,0,0,N,1332
1977,0,BD,N,BEDOK NTH ST 2,154,134,0,12,Y,0,N,0,0,121,N,33,N,0,0,0,0,0,N,1333
1986,0,BH,N,BISHAN ST 12,60,134,60,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1334
1983,0,BB,N,BT BATOK WEST AVE 6,111,134,1,13,Y,0,N,0,2,86,Y,22,N,0,0,0,0,0,N,1335
2001,0,PG,N,EDGEDALE PLAINS,171,134,0,18,Y,0,N,0,103,0,N,68,N,0,0,0,0,0,N,1336
1986,0,GL,N,GEYLANG EAST AVE 1,24,134,0,4,Y,0,N,0,6,0,Y,18,N,0,0,0,0,0,N,1337
1994,0,BM,N,JLN BT MERAH,112,134,0,17,Y,0,N,0,32,0,N,80,Y,0,0,0,0,0,N,1338
1988,0,JE,N,JURONG GATEWAY RD,0,134,0,4,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,1339
1983,0,HG,N,LOR AH SOO,103,134,0,14,Y,0,N,0,0,0,Y,103,N,0,0,0,0,0,N,1340
1984,0,WL,N,MARSILING RD,62,134,46,9,Y,0,N,0,16,0,N,0,N,0,0,0,0,0,N,1341
1993,0,PRC,N,PASIR RIS ST 11,44,134,44,9,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1342
1988,0,BP,N,PETIR RD,8,134,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,1343
1984,0,TP,N,POTONG PASIR AVE 3,89,134,0,14,Y,0,N,0,5,46,N,38,Y,0,0,0,0,0,N,1344
1997,0,SK,N,RIVERVALE ST,91,134,0,17,Y,0,N,0,75,0,N,16,N,0,0,0,0,0,N,1345
1987,0,TAP,N,SIMEI ST 1,120,134,0,11,Y,0,N,0,62,0,N,58,N,0,0,0,0,0,N,1346
