town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,_id,block
BEDOK,3 ROOM,New Generation,68,BEDOK RESERVOIR RD,310000,2017-01,63 years 06 months,1981,07 TO 09,76,709
BEDOK,3 ROOM,New Generation,67,CHAI CHEE ST,310000,2017-01,67 years 05 months,1985,01 TO 03,77,42
BEDOK,3 ROOM,New Generation,68,BEDOK RESERVOIR RD,310000,2017-01,63 years 07 months,1981,07 TO 09,78,709
BEDOK,3 ROOM,Model A,75,CHAI CHEE DR,310000,2017-01,66 years 03 months,1984,04 TO 06,79,55
BEDOK,3 ROOM,Improved,70,BEDOK NTH RD,312000,2017-01,60 years 01 month,1978,07 TO 09,80,75
BEDOK,3 ROOM,Improved,65,BEDOK STH AVE 1,312000,2017-01,58 years,1976,10 TO 12,81,2
BEDOK,3 ROOM,Improved,66,CHAI CHEE AVE,312000,2017-01,65 years 04 months,1983,04 TO 06,82,37
BISHAN,EXECUTIVE,Maisonette,146,BISHAN ST 23,888000,2017-01,74 years 04 months,1992,04 TO 06,147,231
BEDOK,3 ROOM,New Generation,68,BEDOK RESERVOIR RD,313000,2017-01,63 years 06 months,1981,07 TO 09,83,709
BEDOK,3 ROOM,New Generation,67,BEDOK NTH RD,332000,2017-01,61 years,1979,10 TO 12,84,425
BEDOK,3 ROOM,New Generation,73,BEDOK NTH RD,336000,2017-01,60 years 04 months,1978,04 TO 06,85,117
BEDOK,3 ROOM,New Generation,82,BEDOK NTH AVE 1,358000,2017-01,61 years,1979,10 TO 12,86,423
BEDOK,3 ROOM,New Generation,82,CHAI CHEE ST,360000,2017-01,67 years 05 months,1985,01 TO 03,87,42
BEDOK,3 ROOM,New Generation,82,BEDOK NTH ST 3,365000,2017-01,62 years,1980,04 TO 06,88,533
BEDOK,4 ROOM,Simplified,84,BEDOK RESERVOIR RD,350000,2017-01,69 years 05 months,1987,04 TO 06,89,149
BEDOK,4 ROOM,Improved,90,BEDOK STH AVE 2,350000,2017-01,59 years 11 months,1977,13 TO 15,90,35
BEDOK,4 ROOM,Improved,84,BEDOK STH RD,350000,2017-01,59 years 08 months,1977,04 TO 06,91,42
BEDOK,4 ROOM,Improved,90,BEDOK STH AVE 2,358000,2017-01,59 years 08 months,1977,10 TO 12,92,34
BEDOK,4 ROOM,Improved,82,BEDOK STH AVE 2,358000,2017-01,58 years,1976,04 TO 06,93,7
BEDOK,4 ROOM,Improved,82,BEDOK STH AVE 2,375000,2017-01,58 years,1976,13 TO 15,94,8
BEDOK,4 ROOM,New Generation,91,BEDOK NTH RD,380000,2017-01,60 years 05 months,1978,01 TO 03,95,80
BEDOK,4 ROOM,New Generation,91,BEDOK NTH RD,382000,2017-01,60 years 07 months,1978,04 TO 06,96,78
BEDOK,4 ROOM,Simplified,84,BEDOK RESERVOIR RD,384000,2017-01,69 years 02 months,1987,07 TO 09,97,135
BEDOK,4 ROOM,Simplified,84,BEDOK RESERVOIR RD,385000,2017-01,69 years 03 months,1987,13 TO 15,98,148
BEDOK,4 ROOM,New Generation,91,BEDOK NTH RD,390000,2017-01,60 years 05 months,1978,01 TO 03,99,81
