street,x,project,y,rentalMedian.refPeriod,rentalMedian.psf75,rentalMedian.median,rentalMedian.psf25,rentalMedian.district
NEWTON ROAD,28930.33299,26 NEWTON,33116.45355,2021Q4,5.28,5.07,4.75,11
NEWTON ROAD,28930.33299,26 NEWTON,33116.45355,2022Q2,5.95,5.43,5.03,11
NEWTON ROAD,28930.33299,26 NEWTON,33116.45355,2021Q2,5.23,5.05,4.69,11
NEWTON ROAD,28930.33299,26 NEWTON,33116.45355,2021Q3,5.28,5.17,4.53,11
NEWTON ROAD,28930.33299,26 NEWTON,33116.45355,2022Q1,5.53,5.33,4.76,11
NEWTON ROAD,28930.33299,26 NEWTON,33116.45355,2021Q1,4.95,4.82,4.19,11
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2019Q4,2.29,2.17,2.0,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2020Q2,2.41,2.3,2.16,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2019Q3,2.37,2.27,2.17,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2020Q3,2.45,2.32,2.16,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2020Q1,2.38,2.22,2.08,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2020Q4,2.48,2.31,2.16,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2021Q2,2.51,2.43,2.27,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2021Q3,2.59,2.43,2.27,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2021Q4,2.81,2.49,2.3,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2022Q2,2.76,2.63,2.46,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2021Q1,2.38,2.18,2.06,21
HUME AVENUE,20601.56924,SYMPHONY HEIGHTS,37662.52947,2022Q1,2.91,2.62,2.25,21
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2019Q3,2.41,2.19,2.03,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2020Q1,2.37,2.2,1.97,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2019Q4,2.19,2.09,2.03,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2020Q3,2.2,2.04,1.99,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2020Q4,2.32,2.21,2.09,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2021Q4,2.42,2.25,2.12,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2022Q2,2.68,2.43,2.28,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2021Q2,2.19,2.02,1.96,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2021Q3,2.61,2.4,2.22,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2022Q1,2.59,2.45,2.14,23
HILLVIEW AVENUE,20076.89967,HILLBROOKS,37855.12134,2021Q1,2.43,2.03,1.92,23
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2019Q4,2.32,2.27,2.2,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2020Q2,2.27,2.26,2.2,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2019Q3,2.45,2.34,2.25,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2020Q1,2.4,2.31,2.19,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2020Q3,2.29,2.25,2.11,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2020Q4,2.35,2.19,2.04,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2021Q3,2.62,2.36,2.24,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2021Q4,2.67,2.51,2.18,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2022Q2,3.25,3.17,2.67,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2021Q2,2.34,2.26,2.18,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2022Q1,2.71,2.52,2.37,18
SIMEI RISE,42188.20894,SAVANNAH CONDOPARK,36849.9092,2021Q1,2.44,2.36,2.29,18
CAVENAGH ROAD,28843.55299,CAVENAGH FORTUNA,32113.61821,2021Q4,4.45,4.12,3.74,09
MARTIN PLACE,28526.69145,MARTIN MODERN,30659.01805,2021Q4,6.8,6.43,6.19,09
MARTIN PLACE,28526.69145,MARTIN MODERN,30659.01805,2022Q2,7.85,7.41,6.89,09
MARTIN PLACE,28526.69145,MARTIN MODERN,30659.01805,2021Q3,7.13,6.47,6.22,09
MARTIN PLACE,28526.69145,MARTIN MODERN,30659.01805,2022Q1,6.96,6.78,6.54,09
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2019Q3,3.69,3.45,3.22,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2019Q4,3.57,3.5,3.34,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2020Q3,3.65,3.44,3.02,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2020Q2,3.67,3.28,2.92,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2020Q4,3.61,3.5,3.31,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2021Q4,4.08,3.8,3.35,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2021Q2,3.72,3.55,3.15,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2021Q3,3.72,3.42,3.14,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2021Q1,3.65,3.5,3.29,19
LEW LIAN VALE,32891.26664,JADE RESIDENCES,36754.69098,2022Q1,4.52,4.37,3.7,19
DRAYCOTT PARK,27865.43713,DRAYCOTT EIGHT,32639.1683,2019Q3,5.16,4.86,4.38,10
DRAYCOTT PARK,27865.43713,DRAYCOTT EIGHT,32639.1683,2020Q3,4.65,4.47,4.33,10
DRAYCOTT PARK,27865.43713,DRAYCOTT EIGHT,32639.1683,2020Q4,4.54,4.45,4.14,10
DRAYCOTT PARK,27865.43713,DRAYCOTT EIGHT,32639.1683,2021Q2,5.23,5.01,4.32,10
DRAYCOTT PARK,27865.43713,DRAYCOTT EIGHT,32639.1683,2021Q3,4.83,4.69,4.42,10
DRAYCOTT PARK,27865.43713,DRAYCOTT EIGHT,32639.1683,2022Q1,6.05,5.17,5.01,10
DRAYCOTT PARK,27865.43713,DRAYCOTT EIGHT,32639.1683,2021Q1,4.78,4.51,4.36,10
BEDOK SOUTH AVENUE 3,40417.14808,GRANDEUR PARK RESIDENCES,34117.9636,2021Q4,5.07,4.79,4.4,16
BEDOK SOUTH AVENUE 3,40417.14808,GRANDEUR PARK RESIDENCES,34117.9636,2022Q2,5.75,5.24,4.76,16
BEDOK SOUTH AVENUE 3,40417.14808,GRANDEUR PARK RESIDENCES,34117.9636,2021Q2,4.82,4.5,4.19,16
BEDOK SOUTH AVENUE 3,40417.14808,GRANDEUR PARK RESIDENCES,34117.9636,2021Q3,5.14,4.72,4.44,16
BEDOK SOUTH AVENUE 3,40417.14808,GRANDEUR PARK RESIDENCES,34117.9636,2022Q1,5.6,5.12,4.73,16
BEDOK SOUTH AVENUE 3,40417.14808,GRANDEUR PARK RESIDENCES,34117.9636,2021Q1,5.0,4.56,4.2,16
MARYMOUNT TERRACE,28922.83293,BOONVIEW,37093.28334,2021Q3,2.65,2.41,2.33,20
CAIRNHILL ROAD,28361.93527,SUITES @ CAIRNHILL,32485.78572,2019Q4,4.9,4.51,4.51,09
CAIRNHILL ROAD,28361.93527,SUITES @ CAIRNHILL,32485.78572,2019Q3,4.91,4.51,4.26,09
CAIRNHILL ROAD,28361.93527,SUITES @ CAIRNHILL,32485.78572,2021Q3,4.8,4.44,4.26,09
CAIRNHILL ROAD,28361.93527,SUITES @ CAIRNHILL,32485.78572,2022Q1,4.9,4.84,4.63,09
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2020Q2,4.12,3.19,2.97,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2020Q3,3.51,3.26,3.1,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2019Q3,3.99,3.29,2.97,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2020Q1,3.96,3.29,3.1,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2019Q4,3.48,3.07,2.0,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2020Q4,4.1,3.32,3.01,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2021Q4,4.01,3.48,3.2,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2022Q2,4.28,4.02,3.57,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2021Q2,4.17,3.35,3.1,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2021Q3,3.87,3.31,3.0,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2021Q1,4.07,3.18,3.06,13
PHENG GECK AVENUE,32075.12966,NIN RESIDENCE,35031.37121,2022Q1,4.22,3.78,3.38,13
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2019Q4,4.2,3.69,3.15,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2020Q2,3.79,3.5,3.13,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2020Q3,3.66,3.2,3.03,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2019Q3,3.82,3.54,3.16,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2020Q1,4.05,3.51,3.08,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2022Q2,4.34,3.97,3.47,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2021Q2,3.7,3.32,3.08,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2021Q3,3.95,3.67,3.34,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2021Q4,4.36,3.7,3.26,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2021Q1,3.52,3.15,2.91,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2020Q4,3.7,3.28,3.07,09
RIVER VALLEY ROAD,28938.88335,UE SQUARE,30606.15865,2022Q1,4.2,3.86,3.32,09
CRAIG ROAD,29016.91477,CRAIG PLACE,28939.24582,2020Q2,4.84,4.72,4.41,02
CRAIG ROAD,29016.91477,CRAIG PLACE,28939.24582,2021Q3,4.91,4.82,4.29,02
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2019Q4,3.95,3.51,2.71,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2020Q2,3.34,3.14,3.04,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2020Q3,3.72,3.28,3.21,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2019Q3,3.86,3.47,3.22,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2020Q1,3.49,3.24,2.51,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2021Q2,3.53,3.1,2.75,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2021Q3,3.55,3.28,2.72,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2021Q4,3.92,3.41,2.73,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2022Q2,4.1,3.96,3.46,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2021Q1,3.41,3.16,2.91,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2020Q4,3.37,2.96,2.72,07
BEACH ROAD,31048.27691,THE PLAZA,31323.71271,2022Q1,3.97,3.69,2.96,07
LORONG G TELOK KURAU,36829.0629,ESPIRA SUITES,33301.53794,2021Q1,4.02,3.72,3.41,15
TANJONG RHU ROAD,32553.132,CASUARINA COVE,31084.77719,2019Q3,2.91,2.75,2.45,15
TANJONG RHU ROAD,32553.132,CASUARINA COVE,31084.77719,2019Q4,2.91,2.82,2.7,15
TANJONG RHU ROAD,32553.132,CASUARINA COVE,31084.77719,2021Q4,3.15,2.95,2.85,15
TANJONG RHU ROAD,32553.132,CASUARINA COVE,31084.77719,2022Q2,3.74,3.22,2.98,15
TANJONG RHU ROAD,32553.132,CASUARINA COVE,31084.77719,2021Q1,2.78,2.65,2.48,15
ORCHARD ROAD,28081.73509,LUCKY PLAZA APARTMENTS,31874.31741,2020Q4,3.57,3.38,3.24,09
ORCHARD ROAD,28081.73509,LUCKY PLAZA APARTMENTS,31874.31741,2022Q1,4.41,4.34,3.36,09
RIVER VALLEY CLOSE,28406.43569,THE REGALIA,30848.85679,2019Q4,3.33,2.99,2.86,09
RIVER VALLEY CLOSE,28406.43569,THE REGALIA,30848.85679,2020Q3,2.88,2.77,2.7,09
RIVER VALLEY CLOSE,28406.43569,THE REGALIA,30848.85679,2020Q1,3.29,3.0,2.91,09
RIVER VALLEY CLOSE,28406.43569,THE REGALIA,30848.85679,2021Q2,3.07,2.88,2.8,09
RIVER VALLEY CLOSE,28406.43569,THE REGALIA,30848.85679,2021Q4,2.95,2.74,2.66,09
RIVER VALLEY CLOSE,28406.43569,THE REGALIA,30848.85679,2022Q2,3.41,3.16,3.03,09
RIVER VALLEY CLOSE,28406.43569,THE REGALIA,30848.85679,2020Q4,2.92,2.86,2.63,09
SIGLAP LINK,38395.06117,SEASIDE RESIDENCES,32185.65251,2021Q3,5.14,4.94,4.57,15
SIGLAP LINK,38395.06117,SEASIDE RESIDENCES,32185.65251,2021Q4,5.44,5.18,5.01,15
SIGLAP LINK,38395.06117,SEASIDE RESIDENCES,32185.65251,2022Q2,5.93,5.68,5.34,15
SIGLAP LINK,38395.06117,SEASIDE RESIDENCES,32185.65251,2021Q2,5.09,4.78,4.55,15
SIGLAP LINK,38395.06117,SEASIDE RESIDENCES,32185.65251,2022Q1,6.26,5.58,5.14,15
JALAN HAJIJAH,39417.75914,LANDBAY CONDOMINIUM,32794.36273,2020Q3,2.69,2.5,2.42,16
JALAN HAJIJAH,39417.75914,LANDBAY CONDOMINIUM,32794.36273,2019Q3,2.67,2.53,2.37,16
JALAN HAJIJAH,39417.75914,LANDBAY CONDOMINIUM,32794.36273,2019Q4,2.73,2.59,2.36,16
JALAN HAJIJAH,39417.75914,LANDBAY CONDOMINIUM,32794.36273,2021Q4,3.07,2.9,2.6,16
JALAN HAJIJAH,39417.75914,LANDBAY CONDOMINIUM,32794.36273,2021Q2,3.03,2.77,2.53,16
JALAN HAJIJAH,39417.75914,LANDBAY CONDOMINIUM,32794.36273,2021Q3,2.71,2.67,2.53,16
JALAN HAJIJAH,39417.75914,LANDBAY CONDOMINIUM,32794.36273,2021Q1,2.65,2.49,2.21,16
HOLLAND ROAD,23983.40925,LOFT@HOLLAND,32748.51478,2020Q3,7.12,6.66,6.44,10
HOLLAND ROAD,23983.40925,LOFT@HOLLAND,32748.51478,2019Q3,7.12,6.81,6.56,10
HOLLAND ROAD,23983.40925,LOFT@HOLLAND,32748.51478,2020Q4,6.97,6.5,5.57,10
HOLLAND ROAD,23983.40925,LOFT@HOLLAND,32748.51478,2022Q2,8.84,8.05,7.01,10
HOLLAND ROAD,23983.40925,LOFT@HOLLAND,32748.51478,2021Q2,8.28,7.43,5.95,10
HOLLAND ROAD,23983.40925,LOFT@HOLLAND,32748.51478,2021Q3,8.85,7.91,6.02,10
HOLLAND ROAD,23983.40925,LOFT@HOLLAND,32748.51478,2021Q1,7.74,7.49,7.12,10
WALLICH STREET,29379.37798,WALLICH RESIDENCE,28835.93389,2021Q3,8.96,8.43,7.79,02
WALLICH STREET,29379.37798,WALLICH RESIDENCE,28835.93389,2021Q4,8.56,8.19,7.6,02
WALLICH STREET,29379.37798,WALLICH RESIDENCE,28835.93389,2022Q1,8.32,8.01,7.82,02
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2019Q4,2.2,2.0,1.78,28
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2020Q2,2.34,2.27,1.81,28
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2020Q1,2.27,2.09,1.73,28
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2020Q3,2.27,2.11,1.89,28
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2020Q4,2.11,2.06,1.85,28
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2021Q4,2.43,2.28,2.09,28
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2022Q2,2.3,2.26,2.17,28
TAMARIND ROAD,30915.03395,SERENITY PARK,41305.48173,2021Q2,2.2,2.05,1.84,28
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2019Q3,4.88,4.53,4.27,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2020Q1,4.56,4.34,4.04,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2019Q4,4.52,4.2,3.9,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2020Q3,4.38,4.15,3.91,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2020Q2,4.47,4.14,3.85,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2020Q4,4.49,4.11,3.91,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2021Q4,4.76,4.44,4.22,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2022Q2,5.25,4.86,4.56,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2021Q2,4.53,4.36,4.01,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2021Q3,4.6,4.35,4.14,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2022Q1,4.86,4.61,4.34,04
KEPPEL BAY DRIVE,25930.86993,CARIBBEAN AT KEPPEL BAY,27713.30981,2021Q1,4.48,4.17,3.97,04
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2019Q4,4.04,3.72,3.4,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2020Q2,4.05,3.75,3.41,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2019Q3,4.03,3.8,3.38,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2020Q1,3.99,3.72,3.4,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2020Q3,4.03,3.75,3.47,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2020Q4,3.72,3.52,3.25,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2021Q3,4.0,3.76,3.42,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2021Q4,4.13,3.95,3.56,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2022Q2,5.2,4.33,3.99,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2021Q2,4.18,3.8,3.55,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2022Q1,4.35,4.2,3.83,13
PHENG GECK AVENUE,32051.57768,SENNETT RESIDENCE,34887.51609,2021Q1,4.13,3.83,3.6,13
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2019Q4,3.48,3.12,2.97,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2020Q2,3.39,3.22,3.06,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2019Q3,3.74,3.28,2.89,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2020Q3,3.71,3.14,3.01,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2020Q1,3.27,3.14,3.01,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2022Q2,4.14,3.94,3.66,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2021Q2,3.67,3.31,3.14,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2021Q3,3.75,3.29,3.05,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2021Q4,3.94,3.55,3.22,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2021Q1,3.42,3.24,2.89,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2020Q4,3.52,3.14,2.92,20
BRIGHT HILL DRIVE,27774.47394,THOMSON THREE,37714.80229,2022Q1,3.96,3.55,3.28,20
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2020Q2,3.84,3.28,3.0,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2020Q3,3.93,3.44,3.17,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2019Q3,4.27,3.83,3.29,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2020Q1,3.93,3.53,3.17,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2019Q4,3.9,3.44,3.2,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2020Q4,3.8,3.25,3.08,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2021Q4,3.78,3.52,3.21,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2022Q2,4.29,4.02,3.82,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2021Q2,4.06,3.43,3.14,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2021Q3,4.11,3.72,3.28,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2021Q1,3.84,3.33,3.16,18
SIMEI STREET 3,41401.73313,MY MANHATTAN,35998.94959,2022Q1,4.01,3.63,3.29,18
PINE GROVE,21684.62929,ASTOR GREEN,33350.80012,2019Q3,2.76,2.6,2.4,21
PINE GROVE,21684.62929,ASTOR GREEN,33350.80012,2020Q3,2.67,2.44,2.32,21
PINE GROVE,21684.62929,ASTOR GREEN,33350.80012,2021Q3,2.94,2.75,2.62,21
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2019Q4,5.13,4.75,3.97,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2020Q2,5.09,4.82,4.49,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2020Q3,5.0,4.59,4.21,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2019Q3,5.08,4.76,4.39,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2020Q1,5.1,4.76,4.34,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2021Q2,5.24,4.83,4.47,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2021Q3,5.44,5.0,4.49,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2021Q4,5.24,4.8,4.55,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2022Q2,5.96,5.46,4.97,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2021Q1,4.99,4.53,3.99,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2020Q4,4.76,4.65,4.3,13
MEYAPPA CHETTIAR ROAD,31757.8517,THE POIZ RESIDENCES,34869.46844,2022Q1,5.23,4.83,4.52,13
JALAN MASJID,36843.51662,KEMBANGAN SUITES,33592.79566,2019Q3,4.3,3.91,3.43,14
JALAN MASJID,36843.51662,KEMBANGAN SUITES,33592.79566,2020Q1,4.16,3.89,3.7,14
JALAN MASJID,36843.51662,KEMBANGAN SUITES,33592.79566,2022Q1,4.46,4.18,3.73,14
JALAN HAJIJAH,39286.44655,LAGUNA GREEN,32790.95292,2019Q3,2.46,2.34,2.25,16
JALAN HAJIJAH,39286.44655,LAGUNA GREEN,32790.95292,2021Q3,2.51,2.48,2.43,16
OXFORD ROAD,30047.95829,KENTISH GREEN,33103.30953,2021Q4,2.91,2.69,2.55,08
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2019Q4,4.65,4.13,3.82,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2020Q2,4.8,4.4,3.74,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2020Q3,4.58,3.91,3.66,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2019Q3,4.75,4.05,3.63,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2020Q1,4.44,3.98,3.74,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2022Q2,5.37,4.8,4.3,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2021Q2,4.73,4.08,3.8,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2021Q3,4.65,4.21,3.86,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2021Q4,4.83,4.32,3.88,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2021Q1,4.57,4.08,3.75,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2020Q4,4.57,4.1,3.71,14
DAKOTA CRESCENT,34273.5473,WATERBANK AT DAKOTA,32135.00627,2022Q1,5.13,4.58,4.09,14
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2019Q4,3.41,3.22,2.94,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2020Q2,3.55,3.35,2.68,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2019Q3,3.41,3.32,2.84,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2020Q1,3.66,3.21,2.65,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2020Q3,3.51,3.41,3.22,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2021Q2,3.94,3.67,3.03,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2021Q3,3.61,3.48,3.09,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2021Q4,3.89,3.6,3.12,18
TAMPINES STREET 86,38562.2889,THE SANTORINI,37077.57629,2022Q2,4.97,4.17,3.67,18
